#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
cariad.invalid,suspend,FALSE,FALSE,iftas:canary,TRUE
cunnyborea.top,suspend,FALSE,FALSE,iftas:cariad80,TRUE
freespeechextremist.com,suspend,FALSE,FALSE,iftas:cariad80,TRUE
bae.st,suspend,FALSE,FALSE,iftas:cariad80,TRUE
baraag.net,suspend,FALSE,FALSE,iftas:cariad80,TRUE
brighteon.social,suspend,FALSE,FALSE,iftas:cariad80,TRUE
detroitriotcity.com,suspend,FALSE,FALSE,iftas:cariad80,TRUE
mastinator.com,suspend,FALSE,FALSE,iftas:cariad80,TRUE
poa.st,suspend,FALSE,FALSE,iftas:cariad80,TRUE
activitypub-troll.cf,suspend,FALSE,FALSE,iftas:cariad80,TRUE
beefyboys.win,suspend,FALSE,FALSE,iftas:cariad80,TRUE
cum.salon,suspend,FALSE,FALSE,iftas:cariad80,TRUE
eveningzoo.club,suspend,FALSE,FALSE,iftas:cariad80,TRUE
nicecrew.digital,suspend,FALSE,FALSE,iftas:cariad80,TRUE
noagendasocial.com,suspend,FALSE,FALSE,iftas:cariad80,TRUE
noauthority.social,suspend,FALSE,FALSE,iftas:cariad80,TRUE
pawoo.net,suspend,FALSE,FALSE,iftas:cariad80,TRUE
poster.place,suspend,FALSE,FALSE,iftas:cariad80,TRUE
varishangout.net,suspend,FALSE,FALSE,iftas:cariad80,TRUE
childlove.space,suspend,FALSE,FALSE,iftas:cariad80,TRUE
gab.com,suspend,FALSE,FALSE,iftas:cariad80,TRUE
mugicha.club,suspend,FALSE,FALSE,iftas:cariad80,TRUE
nationalist.social,suspend,FALSE,FALSE,iftas:cariad80,TRUE
obo.sh,suspend,FALSE,FALSE,iftas:cariad80,TRUE
repl.co,suspend,FALSE,FALSE,iftas:cariad80,TRUE
shitposter.club,suspend,FALSE,FALSE,iftas:cariad80,TRUE
chudbuds.lol,suspend,FALSE,FALSE,iftas:cariad80,TRUE
kiwifarms.cc,suspend,FALSE,FALSE,iftas:cariad80,TRUE
mapsupport.de,suspend,FALSE,FALSE,iftas:cariad80,TRUE
misskey-forkbomb.cf,suspend,FALSE,FALSE,iftas:cariad80,TRUE
seal.cafe,suspend,FALSE,FALSE,iftas:cariad80,TRUE
sneed.social,suspend,FALSE,FALSE,iftas:cariad80,TRUE
social.cutefunny.net,suspend,FALSE,FALSE,iftas:cariad80,TRUE
yggdrasil.social,suspend,FALSE,FALSE,iftas:cariad80,TRUE
childlove.su,suspend,FALSE,FALSE,iftas:cariad66,TRUE
clubcyberia.co,suspend,FALSE,FALSE,iftas:cariad66,TRUE
eientei.org,suspend,FALSE,FALSE,iftas:cariad66,TRUE
freeatlantis.com,suspend,FALSE,FALSE,iftas:cariad66,TRUE
freecumextremist.com,suspend,FALSE,FALSE,iftas:cariad66,TRUE
gameliberty.club,suspend,FALSE,FALSE,iftas:cariad66,TRUE
mostr.pub,suspend,FALSE,FALSE,iftas:cariad66,TRUE
pieville.net,suspend,FALSE,FALSE,iftas:cariad66,TRUE
ryona.agency,suspend,FALSE,FALSE,iftas:cariad66,TRUE
shitpost.cloud,suspend,FALSE,FALSE,iftas:cariad66,TRUE
shortstackran.ch,suspend,FALSE,FALSE,iftas:cariad66,TRUE
social.freysa.ai,silence,FALSE,FALSE,iftas:cariad66,TRUE
spinster.xyz,suspend,FALSE,FALSE,iftas:cariad66,TRUE
truthsocial.co.in,suspend,FALSE,FALSE,iftas:cariad66,TRUE
aethy.com,suspend,FALSE,FALSE,iftas:cariad66,TRUE
annihilation.social,suspend,FALSE,FALSE,iftas:cariad66,TRUE
bird.makeup,suspend,FALSE,FALSE,iftas:cariad66,TRUE
clew.lol,suspend,FALSE,FALSE,iftas:cariad66,TRUE
fsebugoutzone.org,suspend,FALSE,FALSE,iftas:cariad66,TRUE
genderheretics.xyz,suspend,FALSE,FALSE,iftas:cariad66,TRUE
m.corduba.tech,suspend,FALSE,FALSE,iftas:cariad66,TRUE
pedo.school,suspend,FALSE,FALSE,iftas:cariad66,TRUE
pubeurope.com,suspend,FALSE,FALSE,iftas:cariad66,TRUE
rapemeat.solutions,suspend,FALSE,FALSE,iftas:cariad66,TRUE
wolfgirl.bar,suspend,FALSE,FALSE,iftas:cariad66,TRUE
breastmilk.club,suspend,FALSE,FALSE,iftas:cariad66,TRUE
cawfee.club,suspend,FALSE,FALSE,iftas:cariad66,TRUE
decayable.ink,suspend,FALSE,FALSE,iftas:cariad66,TRUE
hentai.baby,suspend,FALSE,FALSE,iftas:cariad66,TRUE
iddqd.social,suspend,FALSE,FALSE,iftas:cariad66,TRUE
leafposter.club,suspend,FALSE,FALSE,iftas:cariad66,TRUE
merovingian.club,suspend,FALSE,FALSE,iftas:cariad66,TRUE
neckbeard.xyz,suspend,FALSE,FALSE,iftas:cariad66,TRUE
norwoodzero.net,suspend,FALSE,FALSE,iftas:cariad66,TRUE
parcero.bond,suspend,FALSE,FALSE,iftas:cariad66,TRUE
rdrama.cc,suspend,FALSE,FALSE,iftas:cariad66,TRUE
seda.social,suspend,FALSE,FALSE,iftas:cariad66,TRUE
shota.house,suspend,FALSE,FALSE,iftas:cariad66,TRUE
skinheads.social,suspend,FALSE,FALSE,iftas:cariad66,TRUE
threads.net,suspend,FALSE,FALSE,iftas:cariad66,TRUE
volk.network,suspend,FALSE,FALSE,iftas:cariad66,TRUE
youjo.love,suspend,FALSE,FALSE,iftas:cariad66,TRUE
activitypub-proxy.cf,suspend,FALSE,FALSE,iftas:cariad51,TRUE
cunnyborea.space,suspend,FALSE,FALSE,iftas:cariad51,TRUE
